ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,PHONE,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10211,41,100,2,7498.9,Shipped,1,1,2004,Classic Cars,194,S12_1099,(1) 47.55.6555,Paris,,75016,France,EMEA,Perrier,Dominique,Large
10225,27,100,9,4517.91,Shipped,1,2,2004,Classic Cars,194,S12_1099,0897-034555,Gensve,,1203,Switzerland,EMEA,Holz,Michael,Medium
10238,28,100,3,5774.72,Shipped,2,4,2004,Classic Cars,194,S12_1099,31 12 3555,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Medium
10253,24,100,13,3922.56,Cancelled,2,6,2004,Classic Cars,194,S12_1099,(171) 555-2282,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Medium
10266,44,100,14,9160.36,Shipped,3,7,2004,Classic Cars,194,S12_1099,0522-556555,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,Large
10276,50,100,3,9631,Shipped,3,8,2004,Classic Cars,194,S12_1099,6175557555,Brickhaven,MA,58339,USA,NA,Barajas,Miguel,Large
10287,21,100,12,3432.24,Shipped,3,8,2004,Classic Cars,194,S12_1099,0897-034555,Gensve,,1203,Switzerland,EMEA,Holz,Michael,Medium
10300,33,100,5,5521.89,Shipped,4,10,2003,Classic Cars,194,S12_1099,+49 69 66 90 2555,Frankfurt,,60528,Germany,EMEA,Keitel,Roland,Medium
10310,33,100,10,6934.62,Shipped,4,10,2004,Classic Cars,194,S12_1099,0221-5554327,Koln,,50739,Germany,EMEA,Pfalzheim,Henriette,Medium
10320,31,100,3,6876.11,Shipped,4,11,2004,Classic Cars,194,S12_1099,0921-12 3555,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Medium
10329,41,71.47,5,2930.27,Shipped,4,11,2004,Classic Cars,194,S12_1099,2125557818,NYC,NY,10022,USA,NA,Yu,Kwai,Small
10341,45,79.65,2,3584.25,Shipped,4,11,2004,Classic Cars,194,S12_1099,6562-9555,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Medium
10363,33,85.39,3,2817.87,Shipped,1,1,2005,Classic Cars,194,S12_1099,+358 9 8045 555,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle,Small
10375,45,76,7,3420,Shipped,1,2,2005,Classic Cars,194,S12_1099,40.67.8555,Nantes,,44000,France,EMEA,Labrune,Janine,Medium
10389,26,99.04,4,2575.04,Shipped,1,3,2005,Classic Cars,194,S12_1099,0695-34 6555,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Small
10419,12,100,13,1961.28,Shipped,2,5,2005,Classic Cars,194,S12_1099,6562-9555,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Small
10105,41,100,15,8690.36,Shipped,1,2,2003,Classic Cars,207,S12_1108,31 12 3555,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Large
10117,33,100,9,6034.38,Shipped,2,4,2003,Classic Cars,207,S12_1108,+65 221 7555,Singapore,,79903,Singapore,Japan,Natividad,Eric,Medium
10127,46,100,2,11279.2,Shipped,2,6,2003,Classic Cars,207,S12_1108,2125557413,NYC,NY,10022,USA,NA,Young,Jeff,Large
10142,33,100,12,8023.29,Shipped,3,8,2003,Classic Cars,207,S12_1108,4155551450,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Large
10153,20,100,11,4904,Shipped,3,9,2003,Classic Cars,207,S12_1108,(91) 555 94 44,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium
10165,44,100,3,8594.52,Shipped,4,10,2003,Classic Cars,207,S12_1108,+65 221 7555,Singapore,,79903,Singapore,Japan,Natividad,Eric,Large
10176,33,100,2,7474.5,Shipped,4,11,2003,Classic Cars,207,S12_1108,0522-556555,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,Large
10185,21,100,13,3883.74,Shipped,4,11,2003,Classic Cars,207,S12_1108,5085559555,New Bedford,MA,50553,USA,NA,Tam,Wing C,Medium
10196,47,100,5,8887.7,Shipped,4,11,2003,Classic Cars,207,S12_1108,2035559545,New Haven,CT,97823,USA,NA,Murphy,Leslie,Large
10208,46,100,13,8602.92,Shipped,1,1,2004,Classic Cars,207,S12_1108,78.32.5555,Lyon,,69004,France,EMEA,Saveley,Mary,Large
10220,32,100,2,7181.44,Shipped,1,2,2004,Classic Cars,207,S12_1108,+353 1862 1555,Dublin,,2,Ireland,EMEA,Cassidy,Dean,Large
10231,42,100,2,8378.58,Shipped,1,3,2004,Classic Cars,207,S12_1108,+34 913 728 555,Madrid,,28023,Spain,EMEA,Fernandez,Jesus,Large
10247,44,100,2,10606.2,Shipped,2,5,2004,Classic Cars,207,S12_1108,+358 9 8045 555,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle,Large
10272,35,100,2,5818.4,Shipped,3,7,2004,Classic Cars,207,S12_1108,2155551555,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium
10282,41,100,5,7071.27,Shipped,3,8,2004,Classic Cars,207,S12_1108,4155551450,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Large
10293,46,100,8,8411.56,Shipped,3,9,2004,Classic Cars,207,S12_1108,011-4988555,Torino,,10100,Italy,EMEA,Accorti,Paolo,Large
10306,31,100,13,6570.76,Shipped,4,10,2004,Classic Cars,207,S12_1108,(171) 555-1555,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria,Medium
10314,38,100,5,7975.44,Shipped,4,10,2004,Classic Cars,207,S12_1108,86 21 3555,Aaarhus,,8200,Denmark,EMEA,Ibsen,Palle,Large
10325,42,64,8,2688,Shipped,4,11,2004,Classic Cars,207,S12_1108,07-98 9555,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Small
10336,33,57.22,10,1888.26,Shipped,4,11,2004,Classic Cars,207,S12_1108,(1) 42.34.2555,Paris,,75012,France,EMEA,Bertrand,Marie,Small
10348,48,52.36,8,2513.28,Shipped,4,11,2004,Classic Cars,207,S12_1108,(91) 555 22 82,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Small
10359,42,100,8,4764.48,Shipped,4,12,2004,Classic Cars,207,S12_1108,26.47.1555,Reims,,51100,France,EMEA,Henriot,Paul,Medium
10371,32,100,6,3560.64,Shipped,1,1,2005,Classic Cars,207,S12_1108,4155551450,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium
10382,34,100,10,3823.64,Shipped,1,2,2005,Classic Cars,207,S12_1108,4155551450,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium
10395,33,69.12,1,2280.96,Shipped,1,3,2005,Classic Cars,207,S12_1108,+33 1 46 62 7555,Paris,,75508,France,EMEA,Da Cunha,Daniel,Small
10413,36,100,2,8677.8,Shipped,2,5,2005,Classic Cars,207,S12_1108,2035552570,Bridgewater,CT,97562,USA,NA,King,Julie,Large
10103,27,100,8,3394.98,Shipped,1,1,2003,Trucks and Buses,136,S12_1666,07-98 9555,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
10113,21,100,2,3415.44,Shipped,1,3,2003,Trucks and Buses,136,S12_1666,4155551450,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium
10126,21,100,8,2439.57,Shipped,2,5,2003,Trucks and Buses,136,S12_1666,(91) 555 22 82,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Small
10140,38,100,8,4829.8,Shipped,3,7,2003,Trucks and Buses,136,S12_1666,6505556809,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium
10150,30,100,5,4100.1,Shipped,3,9,2003,Trucks and Buses,136,S12_1666,+65 221 7555,Singapore,,79903,Singapore,Japan,Natividad,Eric,Medium
10164,49,100,6,6563.06,Resolved,4,10,2003,Trucks and Buses,136,S12_1666,7675-3555,Graz,,8010,Austria,EMEA,Mendel,Roland,Medium
10174,43,100,1,6817.22,Shipped,4,11,2003,Trucks and Buses,136,S12_1666,61-7-3844-6555,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium
10183,41,100,5,6163.94,Shipped,4,11,2003,Trucks and Buses,136,S12_1666,2155554695,Philadelphia,PA,71270,USA,NA,Cervantes,Francisca,Medium
10194,38,100,8,4933.92,Shipped,4,11,2003,Trucks and Buses,136,S12_1666,78.32.5555,Lyon,,69004,France,EMEA,Saveley,Mary,Medium
10206,28,100,3,4056.36,Shipped,4,12,2003,Trucks and Buses,136,S12_1666,(604) 555-3392,Vancouver,BC,V3F 2K1,Canada,NA,Tannamuri,Yoshi,Medium
10216,43,100,1,5759.42,Shipped,1,2,2004,Trucks and Buses,136,S12_1666,30.59.8555,Versailles,,78000,France,EMEA,Tonini,Daniel,Medium
10229,25,100,13,3451,Shipped,1,3,2004,Trucks and Buses,136,S12_1666,4155551450,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium
10245,38,100,6,5920.4,Shipped,2,5,2004,Trucks and Buses,136,S12_1666,2035559545,New Haven,CT,97823,USA,NA,Murphy,Leslie,Medium
10258,41,100,3,6668.24,Shipped,2,6,2004,Trucks and Buses,136,S12_1666,+81 3 3584 0555,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Medium
10270,28,100,6,4094.72,Shipped,3,7,2004,Trucks and Buses,136,S12_1666,+61 2 9495 8555,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium
10281,25,100,13,2938.5,Shipped,3,8,2004,Trucks and Buses,136,S12_1666,2155551555,Allentown,PA,70267,USA,NA,Yu,Kyung,Small
10291,41,100,8,6387.8,Shipped,3,9,2004,Trucks and Buses,136,S12_1666,0695-34 6555,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Medium
10304,39,100,3,6396,Shipped,4,10,2004,Trucks and Buses,136,S12_1666,30.59.8555,Versailles,,78000,France,EMEA,Tonini,Daniel,Medium
10313,21,100,11,2669.1,Shipped,4,10,2004,Trucks and Buses,136,S12_1666,(604) 555-3392,Vancouver,BC,V3F 2K1,Canada,NA,Tannamuri,Yoshi,Small
10322,27,100,9,4784.13,Shipped,4,11,2004,Trucks and Buses,136,S12_1666,6035558647,Nashua,NH,62005,USA,NA,Young,Valarie,Medium
10333,33,99.21,6,3273.93,Shipped,4,11,2004,Trucks and Buses,136,S12_1666,6505555787,San Francisco,CA,,USA,NA,Murphy,Julie,Medium
10347,29,100,3,3586.43,Shipped,4,11,2004,Trucks and Buses,136,S12_1666,03 9520 4555,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10357,49,100,8,5960.36,Shipped,4,12,2004,Trucks and Buses,136,S12_1666,4155551450,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium
10370,49,100,8,8470.14,Shipped,1,1,2005,Trucks and Buses,136,S12_1666,02 9936 8555,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Large
10381,20,100,1,2952,Shipped,1,2,2005,Trucks and Buses,136,S12_1666,6505551386,San Francisco,CA,,USA,NA,Brown,Julie,Small
10391,39,63.2,9,2464.8,Shipped,1,3,2005,Trucks and Buses,136,S12_1666,02 9936 8555,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small
10411,40,100,6,6232,Shipped,2,5,2005,Trucks and Buses,136,S12_1666,(514) 555-8054,Montreal,Quebec,H1J 1C3,Canada,NA,Fresnisre,Jean,Medium
10424,49,100,3,7969.36,In Process,2,5,2005,Trucks and Buses,136,S12_1666,(91) 555 94 44,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large
10107,21,100,1,3036.6,Shipped,1,2,2003,Motorcycles,150,S12_2823,2125557818,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10121,50,100,4,8284,Shipped,2,5,2003,Motorcycles,150,S12_2823,26.47.1555,Reims,,51100,France,EMEA,Henriot,Paul,Large
10134,20,100,1,2711.2,Shipped,3,7,2003,Motorcycles,150,S12_2823,+33 1 46 62 7555,Paris,,75508,France,EMEA,Da Cunha,Daniel,Small
10145,49,100,5,8339.8,Shipped,3,8,2003,Motorcycles,150,S12_2823,6265557265,Pasadena,CA,90003,USA,NA,Young,Julie,Large
10159,38,100,13,6238.84,Shipped,4,10,2003,Motorcycles,150,S12_2823,6505551386,San Francisco,CA,,USA,NA,Brown,Julie,Medium
10169,35,100,13,4639.25,Shipped,4,11,2003,Motorcycles,150,S12_2823,02 9936 8555,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Medium
10180,40,100,8,6747.6,Shipped,4,11,2003,Motorcycles,150,S12_2823,20.16.1555,Lille,,59000,France,EMEA,Rance,Martine,Medium
10189,28,100,1,4512.48,Shipped,4,11,2003,Motorcycles,150,S12_2823,6265557265,Pasadena,CA,90003,USA,NA,Young,Julie,Medium
10201,25,100,1,4029,Shipped,4,12,2003,Motorcycles,150,S12_2823,6505555787,San Francisco,CA,,USA,NA,Murphy,Julie,Medium
10211,36,100,13,4771.8,Shipped,1,1,2004,Motorcycles,150,S12_2823,(1) 47.55.6555,Paris,,75016,France,EMEA,Perrier,Dominique,Medium
10224,43,100,6,6087.94,Shipped,1,2,2004,Motorcycles,150,S12_2823,20.16.1555,Lille,,59000,France,EMEA,Rance,Martine,Medium
10237,32,100,6,4193.28,Shipped,2,4,2004,Motorcycles,150,S12_2823,2125551500,NYC,NY,10022,USA,NA,Frick,Michael,Medium
10251,46,100,1,7552.28,Shipped,2,5,2004,Motorcycles,150,S12_2823,2015559350,Newark,NJ,94019,USA,NA,Brown,William,Large
10263,48,100,1,6434.4,Shipped,2,6,2004,Motorcycles,150,S12_2823,2035552570,Bridgewater,CT,97562,USA,NA,King,Julie,Medium
10276,43,100,14,5181.5,Shipped,3,8,2004,Motorcycles,150,S12_2823,6175557555,Brickhaven,MA,58339,USA,NA,Barajas,Miguel,Medium
10285,49,100,5,6863.92,Shipped,3,8,2004,Motorcycles,150,S12_2823,6175558555,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium
10299,24,100,8,4157.04,Shipped,3,9,2004,Motorcycles,150,S12_2823,90-224 8555,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium
10309,26,100,4,4660.24,Shipped,4,10,2004,Motorcycles,150,S12_2823,07-98 9555,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
10319,30,100,9,4111.8,Shipped,4,11,2004,Motorcycles,150,S12_2823,2125551957,NYC,NY,10022,USA,NA,Kuo,Kee,Medium
10329,24,100,6,3542.64,Shipped,4,11,2004,Motorcycles,150,S12_2823,2125557818,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10341,55,100,8,8118.55,Shipped,4,11,2004,Motorcycles,150,S12_2823,6562-9555,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Large
10362,22,100,1,3877.06,Shipped,1,1,2005,Motorcycles,150,S12_2823,6505556809,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium
10375,49,78.92,13,3867.08,Shipped,1,2,2005,Motorcycles,150,S12_2823,40.67.8555,Nantes,,44000,France,EMEA,Labrune,Janine,Medium
10388,44,100,6,5951.44,Shipped,1,3,2005,Motorcycles,150,S12_2823,5085552555,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Medium
10403,66,100,6,8648.64,Shipped,2,4,2005,Motorcycles,150,S12_2823,(171) 555-2282,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Large
10417,21,100,1,3447.78,Disputed,2,5,2005,Motorcycles,150,S12_2823,(91) 555 94 44,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium
10104,34,100,1,5958.5,Shipped,1,1,2003,Classic Cars,151,S12_3148,(91) 555 94 44,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium
10117,43,100,10,5911.64,Shipped,2,4,2003,Classic Cars,151,S12_3148,+65 221 7555,Singapore,,79903,Singapore,Japan,Natividad,Eric,Medium
10127,46,100,3,7366.44,Shipped,2,6,2003,Classic Cars,151,S12_3148,2125557413,NYC,NY,10022,USA,NA,Young,Jeff,Large
10142,33,100,13,4985.64,Shipped,3,8,2003,Classic Cars,151,S12_3148,4155551450,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium
10153,42,100,12,5393.64,Shipped,3,9,2003,Classic Cars,151,S12_3148,(91) 555 94 44,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium
10165,34,100,4,4880.02,Shipped,4,10,2003,Classic Cars,151,S12_3148,+65 221 7555,Singapore,,79903,Singapore,Japan,Natividad,Eric,Medium
10176,47,100,3,8378.69,Shipped,4,11,2003,Classic Cars,151,S12_3148,0522-556555,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,Large
10185,33,100,14,4038.21,Shipped,4,11,2003,Classic Cars,151,S12_3148,5085559555,New Bedford,MA,50553,USA,NA,Tam,Wing C,Medium
10196,24,100,6,3807.12,Shipped,4,11,2003,Classic Cars,151,S12_3148,2035559545,New Haven,CT,97823,USA,NA,Murphy,Leslie,Medium
10208,26,100,14,3142.36,Shipped,1,1,2004,Classic Cars,151,S12_3148,78.32.5555,Lyon,,69004,France,EMEA,Saveley,Mary,Medium
10220,30,100,3,4713.6,Shipped,1,2,2004,Classic Cars,151,S12_3148,+353 1862 1555,Dublin,,2,Ireland,EMEA,Cassidy,Dean,Medium
10230,43,100,1,7016.31,Shipped,1,3,2004,Classic Cars,151,S12_3148,+49 69 66 90 2555,Frankfurt,,60528,Germany,EMEA,Keitel,Roland,Large
10247,25,100,3,4381.25,Shipped,2,5,2004,Classic Cars,151,S12_3148,+358 9 8045 555,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle,Medium
10272,27,100,3,4283.01,Shipped,3,7,2004,Classic Cars,151,S12_3148,2155551555,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium
10282,27,100,6,4364.82,Shipped,3,8,2004,Classic Cars,151,S12_3148,4155551450,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium
10293,24,100,9,4242.24,Shipped,3,9,2004,Classic Cars,151,S12_3148,011-4988555,Torino,,10100,Italy,EMEA,Accorti,Paolo,Medium
10306,34,100,14,4982.7,Shipped,4,10,2004,Classic Cars,151,S12_3148,(171) 555-1555,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria,Medium
10314,46,100,6,6393.54,Shipped,4,10,2004,Classic Cars,151,S12_3148,86 21 3555,Aaarhus,,8200,Denmark,EMEA,Ibsen,Palle,Medium
10324,27,54.33,1,1466.91,Shipped,4,11,2004,Classic Cars,151,S12_3148,2125551500,NYC,NY,10022,USA,NA,Frick,Michael,Small
10336,33,100,11,4059.33,Shipped,4,11,2004,Classic Cars,151,S12_3148,(1) 42.34.2555,Paris,,75012,France,EMEA,Bertrand,Marie,Medium
10348,47,100,4,4801.52,Shipped,4,11,2004,Classic Cars,151,S12_3148,(91) 555 22 82,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Medium
10358,49,55.34,5,2711.66,Shipped,4,12,2004,Classic Cars,151,S12_3148,(91) 555 94 44,Madrid,,28034,Spain,EMEA,Freyre,Diego,Small
10372,40,100,4,5862,Shipped,1,1,2005,Classic Cars,151,S12_3148,+81 3 3584 0555,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Medium
10382,37,100,11,4071.85,Shipped,1,2,2005,Classic Cars,151,S12_3148,4155551450,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium
10413,47,100,3,8236.75,Shipped,2,5,2005,Classic Cars,151,S12_3148,2035552570,Bridgewater,CT,97562,USA,NA,King,Julie,Large
10108,45,100,4,6130.35,Shipped,1,3,2003,Classic Cars,117,S12_3380,+63 2 555 3587,Makati City,,1227 MM,Philippines,Japan,Cruz,Arnold,Medium
10122,37,99.82,8,3693.34,Shipped,2,5,2003,Classic Cars,117,S12_3380,91.24.4555,Marseille,,13008,France,EMEA,Lebihan,Laurence,Medium
10135,48,100,5,6031.68,Shipped,3,7,2003,Classic Cars,117,S12_3380,4155551450,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium
10147,31,100,5,3494.94,Shipped,3,9,2003,Classic Cars,117,S12_3380,6175558555,Brickhaven,MA,58339,USA,NA,Nelson,Allen,Medium
10160,46,100,6,5294.14,Shipped,4,10,2003,Classic Cars,117,S12_3380,2155554369,Los Angeles,CA,,USA,NA,Chandler,Michael,Medium
10170,47,100,4,5464.69,Shipped,4,11,2003,Classic Cars,117,S12_3380,7675-3555,Graz,,8010,Austria,EMEA,Mendel,Roland,Medium
10181,28,100,12,2860.76,Shipped,4,11,2003,Classic Cars,117,S12_3380,+47 2267 3215,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Small
10191,40,100,1,5590,Shipped,4,11,2003,Classic Cars,117,S12_3380,0221-5554327,Koln,,50739,Germany,EMEA,Pfalzheim,Henriette,Medium
10203,20,100,6,2254.8,Shipped,4,12,2003,Classic Cars,117,S12_3380,(91) 555 94 44,Madrid,,28034,Spain,EMEA,Freyre,Diego,Small
10212,39,100,16,4946.76,Shipped,1,1,2004,Classic Cars,117,S12_3380,(91) 555 94 44,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium
10225,25,99.82,7,2495.5,Shipped,1,2,2004,Classic Cars,117,S12_3380,0897-034555,Gensve,,1203,Switzerland,EMEA,Holz,Michael,Small
10238,29,100,1,3167.38,Shipped,2,4,2004,Classic Cars,117,S12_3380,31 12 3555,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Medium
10253,22,100,11,2402.84,Cancelled,2,6,2004,Classic Cars,117,S12_3380,(171) 555-2282,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small
10266,22,100,12,2454.54,Shipped,3,7,2004,Classic Cars,117,S12_3380,0522-556555,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,Small
10276,47,100,1,5464.69,Shipped,3,8,2004,Classic Cars,117,S12_3380,6175557555,Brickhaven,MA,58339,USA,NA,Barajas,Miguel,Medium
10287,45,100,10,4756.5,Shipped,3,8,2004,Classic Cars,117,S12_3380,0897-034555,Gensve,,1203,Switzerland,EMEA,Holz,Michael,Medium
10300,29,100,3,3984.6,Shipped,4,10,2003,Classic Cars,117,S12_3380,+49 69 66 90 2555,Frankfurt,,60528,Germany,EMEA,Keitel,Roland,Medium
10310,24,100,8,3100.32,Shipped,4,10,2004,Classic Cars,117,S12_3380,0221-5554327,Koln,,50739,Germany,EMEA,Pfalzheim,Henriette,Medium
10320,35,100,1,4850.3,Shipped,4,11,2004,Classic Cars,117,S12_3380,0921-12 3555,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Medium
10329,46,83.63,13,3846.98,Shipped,4,11,2004,Classic Cars,117,S12_3380,2125557818,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10341,44,95.93,1,4220.92,Shipped,4,11,2004,Classic Cars,117,S12_3380,6562-9555,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Medium
10363,34,96.73,4,3288.82,Shipped,1,1,2005,Classic Cars,117,S12_3380,+358 9 8045 555,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle,Medium
10376,35,100,1,3987.2,Shipped,1,2,2005,Classic Cars,117,S12_3380,3105552373,Glendale,CA,92561,USA,NA,Young,Leslie,Medium
10389,25,72.38,6,1809.5,Shipped,1,3,2005,Classic Cars,117,S12_3380,0695-34 6555,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Small
10419,10,100,11,1092.2,Shipped,2,5,2005,Classic Cars,117,S12_3380,6562-9555,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Small
10105,29,100,14,4566.05,Shipped,1,2,2003,Classic Cars,173,S12_3891,31 12 3555,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Medium
10117,39,100,8,5938.14,Shipped,2,4,2003,Classic Cars,173,S12_3891,+65 221 7555,Singapore,,79903,Singapore,Japan,Natividad,Eric,Medium
10127,42,100,1,8138.76,Shipped,2,6,2003,Classic Cars,173,S12_3891,2125557413,NYC,NY,10022,USA,NA,Young,Jeff,Large
10142,46,100,11,9470.94,Shipped,3,8,2003,Classic Cars,173,S12_3891,4155551450,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Large
10153,49,100,10,7036.89,Shipped,3,9,2003,Classic Cars,173,S12_3891,(91) 555 94 44,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large
10165,27,100,2,5559.03,Shipped,4,10,2003,Classic Cars,173,S12_3891,+65 221 7555,Singapore,,79903,Singapore,Japan,Natividad,Eric,Medium
10176,50,100,1,7872.5,Shipped,4,11,2003,Classic Cars,173,S12_3891,0522-556555,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,Large
10185,43,100,12,7886.2,Shipped,4,11,2003,Classic Cars,173,S12_3891,5085559555,New Bedford,MA,50553,USA,NA,Tam,Wing C,Large
10196,38,100,4,7232.16,Shipped,4,11,2003,Classic Cars,173,S12_3891,2035559545,New Haven,CT,97823,USA,NA,Murphy,Leslie,Large
10208,20,100,12,3114.4,Shipped,1,1,2004,Classic Cars,173,S12_3891,78.32.5555,Lyon,,69004,France,EMEA,Saveley,Mary,Medium
10220,27,100,1,5045.22,Shipped,1,2,2004,Classic Cars,173,S12_3891,+353 1862 1555,Dublin,,2,Ireland,EMEA,Cassidy,Dean,Medium
10231,49,100,1,6952.12,Shipped,1,3,2004,Classic Cars,173,S12_3891,+34 913 728 555,Madrid,,28023,Spain,EMEA,Fernandez,Jesus,Medium
10247,27,100,1,4157.73,Shipped,2,5,2004,Classic Cars,173,S12_3891,+358 9 8045 555,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle,Medium
10272,39,100,1,7962.24,Shipped,3,7,2004,Classic Cars,173,S12_3891,2155551555,Allentown,PA,70267,USA,NA,Yu,Kyung,Large
10282,24,100,4,3778.8,Shipped,3,8,2004,Classic Cars,173,S12_3891,4155551450,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium
10293,45,100,7,8253,Shipped,3,9,2004,Classic Cars,173,S12_3891,011-4988555,Torino,,10100,Italy,EMEA,Accorti,Paolo,Large
10306,20,100,12,3633.4,Shipped,4,10,2004,Classic Cars,173,S12_3891,(171) 555-1555,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria,Medium
10314,36,100,4,6913.8,Shipped,4,10,2004,Classic Cars,173,S12_3891,86 21 3555,Aaarhus,,8200,Denmark,EMEA,Ibsen,Palle,Medium
10325,24,100,1,2583.6,Shipped,4,11,2004,Classic Cars,173,S12_3891,07-98 9555,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Small
10336,49,63.38,1,3105.62,Shipped,4,11,2004,Classic Cars,173,S12_3891,(1) 42.34.2555,Paris,,75012,France,EMEA,Bertrand,Marie,Medium
10349,26,100,10,4408.56,Shipped,4,12,2004,Classic Cars,173,S12_3891,2125557413,NYC,NY,10022,USA,NA,Young,Jeff,Medium
10359,49,62.09,5,3042.41,Shipped,4,12,2004,Classic Cars,173,S12_3891,26.47.1555,Reims,,51100,France,EMEA,Henriot,Paul,Medium
10372,34,100,1,5941.5,Shipped,1,1,2005,Classic Cars,173,S12_3891,+81 3 3584 0555,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Medium
10382,34,95.35,12,3241.9,Shipped,1,2,2005,Classic Cars,173,S12_3891,4155551450,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium
10396,33,100,3,6109.29,Shipped,1,3,2005,Classic Cars,173,S12_3891,4155551450,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium
